Pic_id,Text,MetaphorOccurrence,Target,Source,SentimentCategory
42.jpg,和，文明上网，共建和谐，创建文明网络，共建和谐社会,1,文字,鼠标,1
43.jpg,保护动物城是保护线们自己万物之灵之首应负万物之灵,0,,,0
44.jpg,医网,0,,,-1
45.jpg,每一天低碳生活低碳生活节能降耗从我做起鸡山乡人民政府鸡山乡节能办,0,,,1
46.jpg,停止燃烧我们的生命,1,头,烟丝,1
47.jpg,元贾,0,,,1
48.jpg,行事心实如砣 以信赢天下,1,文字,秤砣,0
49.jpg,如果没有这滴水等待他们的是死亡,1,鱼骨,死亡,0
50.jpg,儿时妈妈说白发是自然痕迹长大我才懂白发我成长地操劳,1,白发,照顾,0
51.jpg,好吧我认输了不得不承认我永远也跑不过你们的子弹,0,,,1
52.jpg,珍爱生命请勿饮酒驾车破碎的也是生命,1,坡,酒瓶,0
53.jpg,禁止吸烟,0,,,1
54.jpg,地球一小时节能从心开始低碳点满做起,1,地球,灯,0
55.jpg,文明奏响爱的乐章永象文化,1,人,音符,1
56.jpg,保护动物,1,鱼,文字,1
57.jpg,苍蝇不叮无缝的蛋,1,人,蛋,0
58.jpg,浪费生命的罪恶,1,文字,水龙头,0
59.jpg,关爱自己关心他人请拒绝吸烟珍惜生命拒绝烟草人关爱生命远离香烟卫生健康局爱卫办,1,肺,树木,1
60.jpg,世界水日节约用水我在行动节约用水不要让最后一满水成为我们的眼泪要节约用水保护水资源世界水日,0,,,1
61.jpg,低碳生活绿色出行,1,车,叶子,1
62.jpg,原则坚持自我才能找到自己的人生目标找到了就不能动摇,1,星空,海洋,1
63.jpg,专家学者,0,,,1
64.jpg,赞美孝心,0,,,1
65.jpg,春放二吸收碳中和中国格力争在年前实现二氧化醋排放达到峰位年前实现联中和,1,自行车,自然景色,1
66.jpg,让爱回家,1,手,爱心,1
67.jpg,青年牛中国牛即青瓜传媒,1,手,液体,1
68.jpg,一个绿地,1,下雨,沙漏,1
69.jpg,燃烧的是香烟消耗的是生命为了你和家人的健康请勿吸烟,1,骷髅头,烟,-1
70.jpg,我的世界只有你我的世界只有你即健耗尽我的生命也变守护你即使耗尽我的生命也要守护你,1,婴儿,猫狗,0
71.jpg,节约谁知盘中餐反对浪费,1,盘子,微笑,1
72.jpg,践行低碳生活共享绿色家园,1,叶子,房子,1
73.jpg,当大象没有牙直被作为名贵的雕刻材料价格昂贵象牙一故象遭到大肆滥捕数量急剧下降世界自然基金会表示人类滥猎象牙将令亚洲大象出现基因突变丧失长象牙的基因出现新品种的无象牙大象当大象没有象牙是大象的无奈还是人类的悲哀,1,象牙,烟雾,0
74.jpg,福,1,树木,吸毒,0
75.jpg,拒绝酒驾,1,车,酒瓶,1
76.jpg,正青春妙不可言,1,表演,厨房用品,1
77.jpg,拒绝网络暴力,1,消息,刀,0
78.jpg,拿什么来抵救我们的家园输液篇,1,森林,输液袋,0
79.jpg,保护环境,1,插头,树枝,0
80.jpg,低碳生活置身家中居于自然,1,房子,叶子,1
81.jpg,珍爱生命请勿酒驾萨鄂在清中安格在杯中元,1,时速表,酒瓶,0
82.jpg,共享碧水蓝天发展清洁能源节能减排让我们从细微开始,1,风力发电机,叶子,1
83.jpg,众志成城共间抗疫游必文明进行,0,,,0
84.jpg,坚决杜绝校园暴力,0,,,1
85.jpg,欲文明健你有我文明有礼,0,,,0
86.jpg,木无本必枯,1,水,哭泣,1
87.jpg,节约用纸，拯救自然,1,纸,鹿,0
88.jpg,布非花情迷人品味书香倾听书声传染书鑫领路书韵,1,书,花,0
89.jpg,讲文明树新风做文明人说文明遗行,1,钟表,行为,0
90.jpg,扶贫济困践行友善爱是一起努力爱是永不放手,0,,,0
91.jpg,鲜嫩之吻鲈鱼当蒸汽吻过的鲜爱情保鲜的才懂秘密是时刻认蒸清蒸鲈鱼老板全球领先民族品牌精湛科技轻松黑旺心老板电器,0,,,0
92.jpg,向酒驾醉驾说不,0,,,1
93.jpg,美好安徽创美好安徽文化安徽,1,山,文字,0
94.jpg,节约水资源和平生态共建美好家园,0,,,1
95.jpg,节能减排美好生活,0,,,0
96.jpg,酒驾的终点,1,酒瓶,道路,1
97.jpg,人类不要再害行你自己的癌症发病都与环境污染有关,0,,,1
98.jpg,阅读给予我们创新的源泉,1,书,水壶,1
99.jpg,酒驾失去的是完整的家庭,1,车,照片,1
100.jpg,节约用电举手之劳,1,电,树木,1
101.jpg,下般癌中香烟吸烟新的用,1,香烟,人,1
102.jpg,遵守交通安全严禁酒后驾驶,1,酒瓶,手铐,1
103.jpg,苹粮而论今当节之所有的食物都是我伪心中最完美的物,0,,,1
104.jpg,下单秒内发货小时自动发送百度网盘链接到聊天窗口购买即发送全部素材模版编辑软件支持或及以上版本编辑,0,,,1
105.jpg,讲文明树新风长江日报公益广告绿色生活低碳出行,1,树叶,公交车,0
106.jpg,业,0,,,1
107.jpg,文明健康有你有我欢人防总械勤洗手镇顺共克时双康戴口罩少外出不聚会卫众志成城重科学所富直生活新风尚健康好习惯,1,口罩,文字,1
108.jpg,生命诚可费请勿酒后驾车,1,酒,马路,1
109.jpg,山东省农村信用社联合社济宁审计中心丝粥知盘中餐粒粒皆辛苦物来粮食双易,0,,,1
110.jpg,兵木兰角小时前李易峰限你三日之内年月日下午之前在个人微博认证账号回李易峰或者工作室官微壹峰信向我公开置顶道款保留不少于五个工作日如上述两号被依法依规关闭则将置顶道款保留在公司官博回博众星和其他要求同上不变希望你做个人做个男人做个诚实的人全文最新地承消息,0,,,0
111.jpg,讲文明树新风爱人者人恒爱之中中化利中中达京杨中中国网络电视台制河北蔚县王文林剪纸,0,,,1
112.jpg,联合国凡童高会会作为父母你们知道孩子在想什么吗不要让学习束缚了孩子,1,尺子,文字,1
113.jpg,我们不要蛙牙像呵护牙齿一样呵护我们的环境建设美丽中国,1,树木,牙齿,1
114.jpg,华这个盘子我洗不干净,0,,,0
115.jpg,珍爱生命远离酒驾,0,,,1
116.jpg,节能减排回呼吸共中运让我们一起阿护它,1,电灯,树叶,0
117.jpg,珍格粮食江离浪费青约是中华民族的传统美德是是我们民族世代相传的精神财富中是我们这个民族百折不饶生生不息的力最源泉一粒粮食吃饭当节位约用,1,电灯,树叶,1
118.jpg,进行曲,1,电灯,树叶,0
119.jpg,园娜旅日记,0,,,0
120.jpg,拒绝酒驾珍惜生命安生,1,酒,血,1
121.jpg,珍惜生命禁止酒当二喝酒不开车开车不喝酒平安回家,0,,,1
122.jpg,富强民主丈明和诚自由平等公正法治爱国数业诚信友善文质,0,,,1
123.jpg,来自水任节约用关点滴节约用水爱护地球,0,,,1
124.jpg,来自善待地球科学发展低砖先行林我做起注绿化,0,,,1
125.jpg,抗击疫情人人有资在一一起何一线医务工作者致所面众志成城万众一心团结一致战胜疫情,0,,,1
126.jpg,节能减排助力企业文化当先节能减排作品,1,地球,叶子,1
127.jpg,绿电出行节能燕排低院出行,0,,,0
128.jpg,服联环保天福让我们每一次研吸郎无比畅快,1,电灯,风景,0
129.jpg,黄玩网来看妹子妈妈造么,0,,,1
130.jpg,喝酒不开车做中国好司机,0,,,1
131.jpg,请文明排队文明从脚下起步创建从你我开始,0,,,1
132.jpg,然文明健原能金奖公益传墙有你有我守望相助,0,,,1
133.jpg,暴牌气的熊猫搞关,0,,,1
134.jpg,二月初二龙抬头你抬头了吗本士邦,1,避孕套,水,0
135.jpg,公益海报酒后驾车害人已珍爱生命请勿酒驾醉罪在酒中毁海在杯中留网,0,,,1
136.jpg,保护生态环境垃圾分类从自己做起,1,垃圾,山,1
137.jpg,来伊份一举高中梅压力十分轻松占整头高考美福来伊份话梅片酸甜可口更减压知乎萧墨,1,高考真题,台阶,1
138.jpg,愛情找到幸福,1,钻戒,柚子,1
139.jpg,节约盘中餐粒粒皆珍贵,1,米,金币,1
140.jpg,觅爱水情水节水,0,,,1
141.jpg,绿绿色出行从载做超健康出行低碳生活书能珠排绿色出行健康一生配地长我们土同的究,0,,,1
142.jpg,告人国际大卖,0,,,0
143.jpg,低碳生活你我同行为了我们共同的家园和长久的美好未来从现在做起从我做起,0,,,1
144.jpg,别让一环酒带你走上不归路别让您孩子的等待没有了期限,1,酒杯,汽车,1
145.jpg,提倡节能青国微动作开始节约能要华手之坊海海一一办公宝万环保多一点心的美德下有电小京识冷暖法中件窗康带的用电你我体铁乐工作标一买,1,电灯,地球,1
146.jpg,倡导低碳生活,0,,,1
147.jpg,节约用水,1,水,地球,1
148.jpg,今低碳生活产讲文明话办文明事再做文明人创文明城市共交当工月合,1,眼镜,自行车,0
149.jpg,世界上没有你去不了的地方启利程理想为浆书本导航文明果土书青龙江,1,指南针,书,1
150.jpg,绿色发展低碳生活居使篇选择低碳装修材料低碳设计营造健康生活避免室内环境污染日常生活防护电磁辐射防止家具噪声充分利用自然光巧装修避免光污染选择可组合式家具旧家具巧利用,1,云朵,自然景色,1
151.jpg,年轻就要敢尝试,1,坚果,人,1
152.jpg,别忘记你还有乡,1,房子,面包,0
153.jpg,禁止酒后驾车为了您和您的家人开车不喝酒喝酒不开车施行创意设计宣,1,文字,车轮,0
154.jpg,节约一点能源还您一片蔚蓝,1,电灯,地球,1
155.jpg,畅想绿色生活创造美好家园你我共同携手主共建文明和谱城市文件可做户外大型广告点击右边他的作品库可进入查看更多作品伦慧,0,,,1
156.jpg,国际修临动物保护日珍稀动物是在自然界较为稀有和珍资的动物国际上各个国家都出现了不同程度珍稀动物灭绝的问题为此国际上将每年的月日定为国际珍稀动物保护日保护动物,0,,,1
157.jpg,州列是兰,1,碗,地球,1
158.jpg,拍下发百度网盘链接拍下旺旺自动发送网盘链接邮箱也是发网盘链接新疆用户可以联系客服分享给您格式和文件大小详情页都有本店商品的下载包内都附有安装教程本店不负责使用教学使用中的问题请自己百度虚拟素材非实物不邮寄,0,,,1
159.jpg,禁止酒驾全国肉通安全日拒绝危险驾驶安全文明出行确定月日为全国交通安全日主要考虑数字作为我国道路交通事故报警电话于年开通井投入使用群众对此认知度高方便记忆和宣传同时考虑每年月日我国已进入冬季是文通事故多发期春运等道路交通出行和运输高峰也即将开始有利于宣传预防道路交通事故,1,文字,车轮,1
160.jpg,节能减排低碳生活爱我家园共护地球片绿地留份资源,1,树木,游乐场,1
161.jpg,请协助他们保留完美的形象,1,动物,人,1
162.jpg,免畅艺品,1,路灯,豹,0
163.jpg,节约节约每滴水造福人类化化水资源化化儿化滴清水化片绿地个地球水是生命之源请君节约用水化,0,,,0
164.jpg,严禁酒驾,0,,,0
165.jpg,文明健康有你有表营造优美舒适环境倡导文明健康生活文明养成爱卫同行,0,,,0
166.jpg,低破城市直居可持续元包邮免费机打发票精选高清挂图提供定制免费机打发票可单张购买张,1,电灯,叶,1
167.jpg,表产品质最安全与生命息息相关农产品明量安全事关人民研众费体健康和生命安金关系到修造种动社会和金品建设社会主义熊农村的金局头杀回配焦山东,1,火箭,玉米,0
168.jpg,请不要伤害我们保护动物负万物之灵之责,0,,,0
169.jpg,珍爱水保护水实现人与自然和谢相处成隆节的用水小务门力用利国利民节约用水科学用水人水和谐科技节水科学发节约用水客调厂家应特水方家广,0,,,1
170.jpg,节约用纸造福未来节约一张纸一片天节约用纸就等于保护森林资源节约每一张纸为为人类造每一份福,1,纸,树木,1
171.jpg,少开一盏灯多添一绿叶节能爱环境从我做起临泉县文明办宣,1,电灯,地球,1
172.jpg,文明有礼和谐之城文明就是您的礼服,1,元宝,山,1
173.jpg,家庭暴力简称家景是指发生在家庭成员之间的以酸打捆绑茶闭残害或者其它手段对家庭成员从身体心理性等方面进行伤雪和摧残的行为父母对子女或者对自己的亲兄弟姐妹施器也是家庭力,0,,,0
174.jpg,酒后驾车徒增伤悲今晚上满家爱车留在家,1,心率,酒瓶,0
175.jpg,绿色出行绿色出行低碳生活低碳生活请请关注绿色激钢授计进入店铺查看限多作品红绿色连品,0,,,1
176.jpg,行动爱护朋友以上文字全部可修改更多海报工作证名片易拉宝网站网页模板专题模板扫描此二维码查看号,0,,,0
177.jpg,大叔纵横人生,0,,,1
178.jpg,文明城市禁止酒驾拒绝酒驾文明礼让人人有责文明城市是社会文明社会和谐在城市的缩影是社会文明社会和谐在城市的集中表现因为城市是人类社会的历更在器个发摩价段上文明成果的积淀建人英文明发展到一定阶段上的产物文明时代的城市第一次具有了城市的意义文明时代休城市第一次揭,0,,,0
179.jpg,珍爱生命请勿饮酒驾车破碎的也是生命,1,酒瓶,汽车,0
180.jpg,公生明麻生成公生用西生造计市玻公用街区,1,文字,钱,1
181.jpg,这辈子就两爱好种种瓜听听泰腔瓜农刘盼羊岁,1,耳机,南瓜,0
182.jpg,酒醉驾珍爱生命禁止酒驾年,0,,,0
183.jpg,拒绝野味敬畏自然,1,地球,动物,1
184.jpg,保护动物和谐共存网没有买卖就没有伤害保护动物就是保护我们自己万物之灵之首应负万物之灵之责善待动物和谐生存保护动物吧,0,,,1
185.jpg,珍爱生市拓烟酒驾遵守交通规则远离酒驾珍爱生命喝酒不开车开车不喝酒地酒驾安全驾驶从现做起珍生市拓绝酒店遵守交通规则远离酒驾珍爱生命酒不开车开车不喝酒,0,,,0
186.jpg,送小著一份外面黄的里面也是黄的脑袋还是绿的井装营小王子并留片仅广告创意,1,饮料,菠萝,1
187.jpg,请勿吸烟,1,头,香烟,1
188.jpg,随手关灯一小步节约能源一大步,1,电灯,树木,1
189.jpg,携手共建绿色城市环境保护能源绿色城市生态环境林业局汇报人汇报时间年月自录添加相关标题文字点击相关标照文字点击泽加相关标照文字击海场相关标照文字点击池加相关标照文字点击请替换文字内容,1,房子,草,1
190.jpg,网易云音,0,,,1
191.jpg,国际消除家庭果力日风对家庭暴力阿护美好家庭双得自庆与立权利的买现以及对各国图承主权和领土号验的环量凯格会馄进社会退步和发展从需有阳于实费男女的克全理鲸,0,,,1
192.jpg,我的眼我的耳我的嘴我说不出手,0,,,1
193.jpg,儿时妈妈说天爱堂果老人白发是自然泰迹长大我才懂源来我就是她的白发我成长地操劳,1,白发,照顾,1
194.jpg,绿色出行,0,,,1
195.jpg,人肉搜索据报道国青年被群酸唐媛与八卦一封信网友文给违反交规的父亲写别让网络因住了善良原型遭网友炮轰某嫩模不堪网络暴力县家身销唐媽与八卦协会成升红媒体的竞气年周星驰五宗罪辽宁女张雅事作号号向华强老瞪名成都女司机遭暴打事件己在大阅兵期间晒儿子照片行们久区怀遭网友炮轰不爱国疯狂条根亚大牌件地铁让座事件袁栅珊滚出娱乐圈事件高跟鞋,1,鸟,绳子,0
196.jpg,碧浪洗衣液广告,1,洗衣液,猛兽,1
197.jpg,和而不同,0,,,0
198.jpg,福,1,可口可乐,人,1
199.jpg,年环境日主题践行绿色生活中华人民共和国环境保护部,1,云朵,建筑,1
200.jpg,月日世界无烟草禁止烟草广告南保无烟青春,1,肺,香烟,-1
201.jpg,融媒体中心银川新闻网节约用水爱生命节约用水文明从我做起,1,水,沙漏,1
202.jpg,酒驾是无视他人生命存在尊重生命严禁酒驾,0,,,0
203.jpg,拾金不味,1,鹿,自然景色,1
204.jpg,节能减排低碳生活爱我家园共护地球,0,,,0
205.jpg,拒绝校园暴力对校园万麦说不,0,,,1
206.jpg,筷筷有爱,0,,,0
207.jpg,君子爱材取之有道,0,,,1
208.jpg,善用纸张珍惜资源,0,,,0
209.jpg,保护动物,1,海豚,水,1
210.jpg,节约用水从我做起节约用水,1,水,地球,0
211.jpg,富强文明言行举止皆形象细微之处见文明吐痰请用纸巾,1,垃圾桶,人,0
212.jpg,拒绝酒驾珍惜生命生命,1,血,酒,1
213.jpg,若干年局保护环境刻不容缓,0,,,0
214.jpg,绝酒喝酒不开车做中国好司机诊爱生命请勿酒驾,1,酒瓶,手铐,0
215.jpg,谱友海文明是根基失去根基便失去一切,1,根,文字,1
216.jpg,传统美德勤做节约勤位节约形容工作物劳生活节俭我国自古就以物险作为修身齐家治国平天下的美德一切贤哲都主张过一种简朴的生活以便不为物役保持精神的自由,0,,,-1
217.jpg,红勤国江西站用心做设计只为烟超未来能源节约江西菜节约能源绿色环保保循环,1,风车,树木,1
218.jpg,回镇金难影帝部超,0,,,1
219.jpg,低碳生活英巴年生肖轮年元,0,,,0
220.jpg,精品红弘中国江西站只为超热来来厨护美好家园舞护家面绿色生活节约用水点满开始节约用水高清素材一图层精细一作品一格式请号位购中国做格网料扶,1,水龙头,地球,1
221.jpg,企鹅号电竞帝,0,,,1
222.jpg,请熄烟,1,烟,肺,0
223.jpg,保护野生动物保护野生动物拒绝猎杀,1,大象,刀子,1
224.jpg,水保护家建共园节约用水是每个公民的责任和义务做我起保小,1,水,地球,0
225.jpg,街能减排低碳生活爱我家园共护地球珍爱能源点商节约水电粮食,0,,,1
226.jpg,节约用水节水惜水爱水,0,,,1
227.jpg,统一鲜橙多,1,橙汁,橙子,1
228.jpg,节能减排,1,灯芯,叶子,0
229.jpg,桐柜绿色生活乡今天你低碳了吗产图片,1,电灯,地球,1
230.jpg,生命至上拒绝月日全国拒绝义酒义驾义日甘肃新媒体集团新甘肃客户端黄每日甘肃网,1,马路,酒,1
231.jpg,街能减排低碳生活爱我家园共护地球玲情使用莫乱花不要过度消费,1,物品,草,1
232.jpg,保护动物保护动物保护保护,0,,,0
233.jpg,保护环境人人有责等你四,0,,,1
234.jpg,节约用水约水器水是生命之源请珍惜每一滴水一,1,自来水,雨滴,1
235.jpg,保护环境从县边做起,1,地球,草,1
236.jpg,倡导低碳生活绿包出行从我做起低碳生活,0,,,0
237.jpg,环保生活低碳出行,0,,,1
238.jpg,节约用水以点滴做起,0,,,1
239.jpg,拒绝拉圾污染分类,1,垃圾,黄金,1
240.jpg,文明健康有你有我文明出行礼让,0,,,0
241.jpg,中国财新网则新来自财新网已编辑农夫山泉提交赴港上市申请农夫山泉正式迈出登陆二级市场的第一步目的地是港股而非股月日农夫山泉向港交所递交了港股首次公开募股申请农夫山泉对上市的兴趣由来已久早在年公司就开始接受中信证券的上市辅导彼时公司希望在股挂牌这一合作一直延续到全文好夫山泉,1,矿泉水,山泉,0
242.jpg,禁止吸烟,1,烟,恶魔,1
243.jpg,别让动物身上有商标,1,豹子,衣服,0
244.jpg,七夕快喜真情流露真青酒彩及时止佳快要下用我去按你及时止住我去接你订场锅,1,爱情,雨伞,1
245.jpg,用微信扫一扫浏览作者更多作品长智光电珍惜他人劳动成果爱护温馨舒适环境,0,,,1
246.jpg,精心便裁,0,,,0
247.jpg,福门用让消费更放心,1,数字,各种物品,0
248.jpg,现在我还来得急,1,肺,烟,1
249.jpg,节约用水从一点一滴开始节约用水珍惜水资源节约每滴水水是生命之源地球上的淡水资源正在逐年减少我们保护水资源的第步就是要学会节约用水,1,水,地球,1
250.jpg,提倡再利用节约能源开发新能源创建亲环境节约用电从我做起优化管理合理用水,1,电,树,1
251.jpg,拒绝酒驾遵守交通规则远离酒驾健康出行,1,马路,酒,-1
252.jpg,君手有健,1,光,钱,0
253.jpg,谐潍坊高密剪纸美满人间的高密剪纸之花建涵着乡情,1,文字,剪纸,1
254.jpg,文明河北塞军坝林场社会主义核心价值观富强民主自由平等爱国敬业文明和谐公正法治诚信友善,0,,,1
255.jpg,电是宝贵的下班时请及时关闭电脑饮水机打印机等一切用电设备,1,电,树,1
256.jpg,世界界的日一粥一饭当念来处不易华丝半然恒念物力维限,0,,,1
257.jpg,绿色城市低碳生活你我共同携乎共建文明和话城市环保公益海报,0,,,1
258.jpg,地球还有多少让我们浪费,1,水龙头,旱土,0
259.jpg,敢来就别想空手而归,0,,,1
260.jpg,设计师对客户的条神吐槽,0,,,0
261.jpg,国天体公公广告年湖北省楚天杯活动作品发布会,0,,,1
262.jpg,救救我,1,口水,海啸,1
263.jpg,讲座服务大家欢迎现在来参加我们公益讲座,0,,,1
264.jpg,百家号中国设计之面,1,头发,彩带,0
265.jpg,欢迎加入宝贝回家公益计划如您不能领养也欢迎提供流浪动物教助线豪短心扫的区城游组织地址中国选江省杭州市街道团结路号,0,,,0
266.jpg,越远的下手机品牌越要团圆奇酷手机中秋送福人人有礼不行麻在等我玉见在还不能被吃掉转发园奇酷手机棉顶微博将裁图发送至奇酷手机官方微信奇酷手机千万红包限量码这个中秋人人有礼,1,人,动物,1
267.jpg,节能减排绿色出行,1,车轮,花,1
268.jpg,水是生命之源节约用冰水是生命之源,1,文字,水,1
269.jpg,电请节约画一度户外写真哑膜恺水爱水节约用水从我做起户外写真配膜,1,电灯,地球,1
270.jpg,世界在变陇一不变的是感富员的保护,1,药,安全帽,0
271.jpg,人保护海洋资源人人有贡,0,,,1
272.jpg,设计师对客户的条神吐槽,0,,,0
273.jpg,节德成排绿色未来节德减排有广义和疾义定义之分广义而育游少皮奔物和环境有富物创括三城和理应等排放滨义而高,1,地球,草,1
274.jpg,珍惜水源美好生活,1,水,手,1
275.jpg,我行林心价值利楼专共筑中国梦人民有信仰国家有力量民族有希望友善公正自由车中城平等法法治主富强和哮文明主和谐主爱国羊诚信敬业文网信安次,1,品德,齿轮,1
276.jpg,动物,0,,,1
277.jpg,珍惜水资源节约用水和平生态共建家园水是生命之源请珍惜利用,0,,,1
278.jpg,是生命二源放水不要超过你所能用掉的水量不要开着龙头漂洗衣服和冲洗蔬菜洗淋浴而不是盆浴每次可节约水五分之四节约使用您的洗衣机留待进行较大规模的洗涤时使用缩短漂洗时间周期水可以再次使用把洗涤水留下来冲刷地板和清洗厕所,0,,,1
279.jpg,城市清洁,1,手,建筑,0
280.jpg,奇幻森林小熊,0,,,1
281.jpg,正版图书可开发票房地产优秀广告文常创作与鉴资大全阜话世环二手书专营机锁工业出代寻图书联系客服,0,,,0
282.jpg,舌尖上的健康绿色海味你还在等什么呢,0,,,1
283.jpg,不分你我后勤服务中心宣,1,电,地球,1
284.jpg,新版绿色生活携手节能减排共享绿色家园色生店配图电衣立公,0,,,1
285.jpg,高乐欢昌健再版权所有进者必究,1,数字,景色,1
286.jpg,修拉莫塔红葡尚酒福有些事是必须要说的这是一个真实的传说仿若童话般在古老的村庄里一个男人我们已经不记得他的名字只是清晰的记得在他很年轻的时候他就深深爱上了村庄里一位美丽的女孩他的真心与真情深深打动了这个女孩美好的结局我们都可以猜到了是的他们如王子与公主般幸福的生活在了一起而在他们相守的幸福岁月里他们始终深深相爱他将涌自内心的真情为她酿造了一瓶散发着醇美爱情的红葡萄酒用她的名字为这瓶葡萄酒命名并把她的身影留在了葡萄酒瓶上岁月更送他们已情然离去但用心酿造的醇美葡萄酒襄着失志不移的真情依旧源远流长对了她的名字叫拉奠塔,1,酒,花瓣,0
287.jpg,让生活更美好碳低生活从点滴做起,0,,,1
288.jpg,节约用电,1,鹿,树,1
289.jpg,爱需及时,1,地球,冰激凌,1
290.jpg,一水一电用之有服总关情为民务卖慢之物力维双一粥一饭当版来之不锈低动环保我先行爆色出行,0,,,1
291.jpg,特性高效节能灵图精灵超长寿命健度易适得工业品绿色环保保护视力光效率高安全产品一律六折点击进人,1,灯泡,水,1
292.jpg,茶一林毁于一著拒绝一次性镇子珍爱树木货源,1,树干,筷子,1
293.jpg,绿色生活低碳出行行行色中立部宣教局,1,叶子,人,1
294.jpg,别自寻烦恼京我的总蛋生活,1,灯泡,叶子,1
295.jpg,选好亲需要的挂图每张图片下方都有对应的时间荣誉,0,,,1
296.jpg,胡锦满主席指店口气的画风,0,,,0
297.jpg,与其怀旧不如珍惜现在,1,影子,手,0
298.jpg,尔用楼只需泡一泡轻松瓦解顽固污渍,1,洗衣液,马卡龙,0
299.jpg,减少尾气排放让红灯多美一会儿社汽车多体意一会儿红缘灯一直夜捷予式,0,,,0
300.jpg,浪费可耻节约光荣勤位节约文化展板大,0,,,1
301.jpg,关爱地球保护环境天上有歌声声不歇鸟儿修归家在心上这是羚羊跳跃的地方别说神仙出没在书上顺着仙乐飘来的方向,1,手,守护,1
302.jpg,讲文明树新风,0,,,1
303.jpg,绿色出行交低碳生活低碳生活节能酒非绿色出行健康一生爱护环境以我做起绿色出行健康你我行天下,0,,,1
304.jpg,我们我在在起全球华人设计师抗震激交大型公益海报手相连一家衣设计活动征集爱心衣物怒江千里行活动,0,,,1
305.jpg,水是生命之源珍惜每一滴水节约用水人人有责宽知肉水是生命之源三,1,水,景色,1
306.jpg,没人比我更懂撒说,0,,,0
307.jpg,明文明制照风公兰广告关爱未成年人健康成长人人有责,0,,,1
308.jpg,公安部交通管理局品快手酒驾快拒绝平安回列家醉驾入刑十周年直播季湖南湘潭月日快手搜家湖南交警快手搜索公安部交通管理局快手搜索湘潭交警,0,,,-1
309.jpg,低碳生活绿色出行一起维护我们赖以生存的地球共同建设我们美好的生态家园大,0,,,1
310.jpg,人,0,,,1
