,Pic_id,Text,MetaphorCategory,Target,Source,SentimentCategory
82,83.jpg,get faster.get lighter.get connected with minimus ionix 3090.enhanced outsole design for better connection.unique midsole for improved flexibility.revlite technology for ultimaate speed.,1,background,stripes,1
83,84.jpg,absolut intelligence.,1,vodka,chip,0
84,85.jpg,excellent is made in london.nb.letmake excellent happen.1080v3.,0,,,1
85,86.jpg,,1,Skateboard,Shoelaces,1
86,87.jpg,i have thunder thighs.and thata a compliment because they are strong and toned and muscular.and though they are unwelcome in the petite section they are cheered on in marathons.ill bounce a grandchild on my thunder thighs and then ill go out for a run.just do it.,0,,,1
87,88.jpg,its not that i work harder than i did beforebut i do feel like i work smarter.nb new balance.always in beta.toronto outfielder.jose bautista.,0,,,1
88,89.jpg,smooth just got fast.nb.letsmake excellent happen.emma coburn.team new balance runner national champion in the fresh from zante.,0,,,1
89,90.jpg,for pitchers.this is how most nightmares begin.nb.lets make excellent happen.,0,,,1
90,91.jpg,new balance.x20.jose bautista 4 time allstar2 time home run championmember of the 50 home run club.trish stratus.fitness lconfounder of stratusphere.,0,,,1
91,92.jpg,find your personalwherever they are.nextel presentsifollow.ifollowthe tool that allows you to follow your personal in a map in the schedules you want with the gps integrated in all nextel equipments.nextel.hablemos de negoclos.,1,pin,translucent,0
92,93.jpg,old tyres are good for everything.but your renault.renault.buy 4 tyres and get free windshield wipers kit at renault network.,1,tires,chair,1
93,94.jpg,honda,1,seat,road,1
94,95.jpg,nike air,0,,,1
95,96.jpg,absolut personal.swf21 and overseeks tall.clear gentleman for bar hopping.cocktailsand good times.2428.dbf24recently separatedlooking to ease back into dating.8290.sbm26tired of the head games.looking for a nicehonest girl.3394.svm32seeks smartadventurous companion looking for fun.023.,1,bottle,paper,0
96,97.jpg,the only thing worse than going to the ballet is going to the balle to watch your son,1,image,color,1
97,98.jpg,come all challengers from all four corners those who cover our crown those who have written us off will feel our wrath in every bonecrunching tackle with every deft pass and harrying run with everykick scrum and lineout a constant thorn in your side for if you want what is ours be warnednot without a fight,0,,,1
98,99.jpg,toughest battles happen within ourselves.lakers 24,0,,,1
99,100.jpg,audi design.the future of automotive form.vorsprung durch technik.electrifying design.brtightermore efficient and characteristicprogressive audi light design.,0,,,1
100,101.jpg,godspeed.sl,1,shoe,wing,1
101,102.jpg,the sweetest little sinner.with only 140 calories for 8 cookiesnilla wafers make the perfect partner in crime.nilla,1,cookie,Null,0
102,103.jpg,the finest ingredients.arranged by artists.,1,net,sticks,0
103,104.jpg,the iconic370z.buy any new nissan between now and the end of march and you could be the proud owner of the proud owner of the legendary 370z.and benefit from our attractive offers.free registrationfree comprehensive insurance.free 1 year or 20000km service extended warranty.saleh al hamad al mana co.,0,,,1
104,105.jpg,in case of nissan auto insurance.,1,car,wood,0
105,106.jpg,nissa.shify.nissan havara more capacity for fun.,1,snow,Null,1
106,107.jpg,nissan.leaf.zero emissions.,1,map,leaf,1
107,108.jpg,nissan.ays only.august 2225.additional.1000 off.limited time.,1,advertisement,Null,0
108,109.jpg,,1,car,water,1
109,110.jpg,absolut stirring,1,bottle,hole,0
110,111.jpg,the new way to travel.armada,1,car,plane,1
111,112.jpg,if you could see inside your skin youd protect it.cover up when the sun is strong.sun.cancer.research.uk,1,face,Null,1
112,113.jpg,nivea.give smooth skin day after day,1,arm,animal,1
113,114.jpg,nivea.the 1st rinseoff body lotion.repairs 10 signs of dry damaged skin.for instant silky soft waterlike skin.use yours shower get and rinse off.apply nivea inshower skin conditioner while still in the shower.rinse off.get dressed.new innovation.inshower.intensive.skin conditioner.,0,,,1
114,115.jpg,be ready to control emotions with new cooling post shave balm.nivea,1,face,distortion,1
115,116.jpg,nivea for men.sensitive.face care hydri gel.active comfort system.stubblefriendly.moisturiser.preparation is everything.,1,nivea,cactus,1
116,117.jpg,always show your good side.make every side your good side with phillips norelco and nivea for men products.tom clancys splinter cell sweepstakesenter for a chance to win a trip to montreal to meet the splinter cell creatorslearn more aboutphilips norelco products.,0,,,1
117,118.jpg,strawberry milk,0,,,1
118,119.jpg,nokia.je taime cant speak french.voulezvous. coucher avec moi.shut up and let me go.french kiss.looks like love.looks like december.looks like rain.looks a lot like me.looks like yoda.a day without.glasses.here comes.the sun.topless a gogo.golden brown.oopsforgotten.sun lotion.red alert.,1,nokia,Null,1
119,120.jpg,nokia.got an appetitesure.,1,cellphone,Null,1
120,121.jpg,bahagiaitu gampang.terhubung langsung dengan siapapun dimanapun.nokia,1,Smartphone,net,1
121,122.jpg,a,1,button,face,1
122,123.jpg,today the sun will rise and set.the rest is up for grabs.taketagsort and share.all in a flash.nokia,0,,,0
123,124.jpg,nokia.transforms from a phone to a messaging keyboard right before your eyes,0,,,1
124,125.jpg,nokia zine.a paneuropean mobile brand magazine for youngsters.,0,,,1
125,126.jpg,get out and and play.,0,,,1
126,127.jpg,quattro.audi quattro.,1,Audi,Null,1
127,128.jpg,rose bowl game.presented by northwestern mutual.,0,,,1
128,129.jpg,the outdoors is yours.theres a whole world outside and its waiting for you to come and explore.its a gift from previous explorersjust as it will be a gift from you to the next generation of adventurers.if you care for itit will return the favor with endless surprisesand challenges that just might teach you things about yourself you never knew.for unforgettable experiences and lifelong mimories of adventureall you have to do is go outside.the outdoors is yoursand its calling you to come explore.planet explore,0,,,1
129,130.jpg,mount hood.foot locker.,0,,,1
130,131.jpg,,1,monster,car,1
131,132.jpg,wish you had onethe morth face,0,,,1
132,133.jpg,the artsoul of greensboro.december 2013,0,,,0
133,134.jpg,you get really cranky.when youre hungry.,1,face,rock,0
134,135.jpg,the sporty little 4seater from oldsmobile.its a good feeling to have an olds around you.n,1,background,speed,1
135,136.jpg,bsolut steadman.,1,vodka,art,0
136,137.jpg,thats who the freebreathing1969 wmachines from oldsmobile were created for.oh sure the good doc has whipped off some pretty great coups in the past.just last year442 was named performancecaroftheyear.and that was a standard 442.at the same timecutlass an fb5 models with newly tooled rocket 350 vbs were nailing down honors in the new minicube market.so much for past history.this yeardr.oldsmobile has outdone himselfwith a pair of 1969 ws that are really smething else.take the new olds 422 w30.that means with forceair induction.and that means with a pair of mammoth front airscooperswidethroat dual air ducts;dual intake air cleaner;minimum combustion chamber volumeseparated center exhaust ports for optimum funingbig intake and exhaust valvesstreamlined and individually branched exhaust mainfold;higeoverelap cam;lowrestriction dualexhausts;and a pair of whopper hood paint pacches.,0,,,0
137,138.jpg,vrrrroom,1,letter R,word voom,1
138,139.jpg,old navy.holiday.after partyup to 60 off.not valid noline.select styles only.while supplies last.,0,,,1
139,140.jpg,strawberry milkshake.oreo,1,cookie,bottle,0
140,141.jpg,doublestuf.oreo,0,,,0
141,142.jpg,oreo.cookie balls.anything but cookiecutter.,1,cookie,snowman,1
142,143.jpg,dream with oreo.wonderfilled,1,cookie,face,1
143,144.jpg,canada.estados unidos de america.in an absolut world.oceano atlanti.golfo de mexico.,0,,,0
144,145.jpg,two halves.whole.oreo,1,cookies,people,0
145,146.jpg,oreo mini big love,0,,,0
146,147.jpg,explore with wonder,1,cookie,balloon,1
147,148.jpg,oreo milks favorite cookie.n,1,cookie,straw,0
148,149.jpg,oreo.mills favorite cookie.,1,cookie,head,1
149,150.jpg,less packaging.same number of servings.ovaltine.rich chocolate.a good source of 12 vitamins minerals.no artificial flavors or.,1,drink,Null,0
150,151.jpg,all natural.ben jerrys.vermonts finest.whats in your cone,1,ice cream,monkey,1
151,152.jpg,the amount of hopes in one bottle of hopslam equals the amount in 7.2 cases of a popular light beer.no clever headline needed.popular domestic light beer.hopslam.available midjanuary.look for it wherever fine beer is sold.,1,hops,body,1
152,153.jpg,tomorrows lestoilwomen of the future will make the moon a caleaner place to live.,1,woman,cleaner,1
153,154.jpg,inexpensive...,1,spinner,charts,1
154,155.jpg,the more you play with itthe harder it gets.you sit there.eyes glued to the writhing.arcadequality graphics putting and squeezing your knob.now youre breathing heavily over the digital stereo sound.now youre shooting all ober the place.but its no use...game overjoystick.to be this good trhes .to be this good trhes sega.,1,Null,Null,0
155,156.jpg,chamclcou.by rolet.,1,Null,Null,1
156,157.jpg,ipaad,1,woman,silhouette,1
157,158.jpg,fidji.la femme est une ile.fidji est son pargum.guy laroche.from parfums guy laroche paris.a special offeran 18k gold plate pendant free with your purchase of fidji 14oz perfume.available exclusively on board.,1,perfume,baby,1
158,159.jpg,panasonic.ideas for life.,1,vegetable,wave,1
159,160.jpg,panasonic.where no vacuum has gone before.,0,,,1
160,161.jpg,foam epilationa beautiful idea to remove pave pam.soie.panasonic.ideas for life.,1,woman,flower,0
161,162.jpg,we are fortunate for you orangechickenlove and chow mein cravings.panda express.sharegoodfortune.panda express.chinese kitchen.,0,,,0
162,163.jpg,food.locations.company.connect.tangy jumbo shrimp.need a hand with thatim good.try it freeget your coupon.sign up for a free chinese new year gift.learn with me.,1,people,panda,1
163,164.jpg,the first french onion soup was created by king louis xv using butteronionsand champagne.,1,onion,person,0
164,165.jpg,sky,1,cellphone,straw,1
165,166.jpg,audi etron.the future of electric mobility.audi sport.vorsprung durch technik.triple victory for ultraetron and quattro.the ultra lightweight audi r18 etron quattro wins the 24h of le mans.audi has gone down in motorsport history once again.in its eleventh overall victory aat the 24h of le mans audi occupied positions onetwo and three.even more remarkablyfor the first time in the history of the famous endurance racea vehicle with hybrid drive has triumphedthe audi r18 etron quattro.in combination with audi ultra lightweight construction audi etron technoligy boosts performance on the front axle through energy recuperated from braking.an impressive demonstration of vorsprung durch technikby team an technology.,0,,,1
166,167.jpg,buy sell rent fix anything.shopping.post ads here.,0,,,1
167,168.jpg,your super papa.your father is the bestso share the best pizza in town with him and your loved onesmama.me.bro.sis.fathers day special voucher.free.papa.original crust pizza of your choice with purchase of any 912 pizza.papa johns.better ingredients.better pizza.,0,,,0
168,169.jpg,chunkasteroids.pepperidge farm.sweet indulgence.,1,game,chocolate,0
169,170.jpg,xijian.,1,soda,Null,0
170,171.jpg,pepsi,0,,,0
171,172.jpg,copybook cover drives should stay in the copybook.change the game.pepsi.,1,soda,guitar,1
172,173.jpg,vs.cocacola.,1,can,grenade,1
173,174.jpg,gatorade always wins.gatorade,1,soda,person,0
174,175.jpg,what do you care aboutthe pepsi refresh progect.every pepsi refresh the world.pepsi.,1,pepsi,letter O,1
175,176.jpg,the hundreds.pepshola.,0,,,1
176,177.jpg,enjoy.pepsicola...in the big big bottle.they say he works for peanuts,1,Monkey,Man,1
177,178.jpg,drre for more.pepsi.,0,,,1
178,179.jpg,drre for more,1,cola,surfboard,1
179,180.jpg,dil maange abhi.pepsi.,0,,,1
180,181.jpg,pepsi.cola,0,,,1
181,182.jpg,win drink.play,1,note,word,1
182,183.jpg,say it with pepsi,0,,,1
183,184.jpg,perrier jouet,0,,,0
184,185.jpg,hine.cognac.societe b.a.p. bureau a paris6rue auguste vacquerie paris xvi.,1,drink,deer,0
185,186.jpg,grand,0,,,1
186,187.jpg,womens horlicks.because your body needs you too...brief.concept.results.,1,drink,dress,0
187,188.jpg,the cleanest fighter in the worldthe british tommy.sunlight soap.,1,box,ammunition,0
188,189.jpg,unhate.united colors of benetton.suppors.,0,,,1
189,190.jpg,sexier,1,body,hair,1
190,191.jpg,la vraie soie.c est le vrai luxe et la vraie economie.exigez.madame.soie naturelle.dela.,1,woman,butterfly,1
191,192.jpg,earths first soft drink.perrier.,1,bottle,earth,1
192,193.jpg,martini.,1,Bottle,corpse,1
193,194.jpg,be an angel for animals.chained dogs suffer day in and day out.they are cold hugrythirstyvulnerableand lonely.keep them insidewhere its safe and warm.ta4qji p.henson uncle willie for pita.,0,,,0
194,195.jpg,let vegetarianism grow on you.peta,1,Clothing,leaves,0
195,196.jpg,asntas not coming this christmas.milk can make you impitent.soy brings joy.peta.,0,,,1
196,197.jpg,delmonte.pineapple juice.truetothefruit flavor.,1,Can,Pineapple,1
197,198.jpg,as nature intended.let elephants be free.boycott the circus.olivia munn for peta.,0,,,0
198,199.jpg,kidsif you dont eat your dogwhy eat a turkeygo vegan.peta,1,turkey,dog,1
199,200.jpg,let vegetarianism grow on you.this holiday season.for peta.,1,underwear,vegetables,0
200,201.jpg,dooneybouf.new york.,0,,,1
201,202.jpg,absolut iv.absolut vodka.,1,vodka,IV bottle,1
202,203.jpg,,1,Cat,person,1
203,204.jpg,,1,pizza,football,1
204,205.jpg,you make my cheese melt.like.comment.pizza hut.need some cheesy and gooey lines to use todayshare this one with someone youre crushinon.its a surefire winmaybe take that person out for pizzatoowith tamo tamusaagus prayogaerin sampson.ong.frompizza huts photos in timeline photos.share withpublic.,0,,,1
205,206.jpg,dream itdo itpeanutthe 7 grames of protein and 6essential nutrients are realharness the power of the peanut.,1,peanut,person,1
206,207.jpg,planters,1,nut,torso,0
207,208.jpg,living pots.sustainable cultivation unity.,1,container,mushroom,0
208,209.jpg,vitalize the foods you enjoy.,1,Null,Null,0
209,210.jpg,the only thing missing is your loan.union planters bank.,1,loan,house,1
210,211.jpg,after you toss up the capwere got you covered.congraatulationsafter years of late night study ressions.cheap pizza datasand trying to live like a rockstar on a broke student budget.you have finally graduated college.you may be thinkingnow whatlet npc help make your transition into the reala world as smooth as possibleso you can eventually live like a rockstaron an actual rockstar budget.pncbank.leading the way.,1,money,graduation cap,1
211,212.jpg,the sleep youre been dreaming of.soothing rest for mind and body.lunesta.it what youre been craving.peaceful sleep without a struggle.thats what lunesta is all abouthelping most people fall asleep quicklyand stay asleep all through the night.its not only nonnarcoticits approved for longterm use.so you can feel comfortable taking it night after night.,0,,,1
212,213.jpg,pololooks beautifulacts hard.,1,car,wall,1
213,214.jpg,the polo gt rocket.,0,,,0
214,215.jpg,have fun.have polo.,0,,,1
215,216.jpg,delmonte.made with freshcut all natural.farm plate.cuisinart.,0,,,0
216,217.jpg,minty games.its a hole lot of fun.,1,mints,chips,1
217,218.jpg,chicle.bubble gum.gamel balls.extrasweet.liquid filled.,1,Null,Null,0
218,219.jpg,olay.total effects body wash.its a body wash.,1,Null,Null,1
219,220.jpg,ralph lauren.polo.red.intense.,1,background,Null,1
220,221.jpg,vitamin.orangeate,1,drink,fruit,1
221,222.jpg,absolut dali.,1,alcohol,glass,0
222,223.jpg,four other car companies have already boutght one.whatever do you suppose they want them forporsche 968the next evolution.,1,car,Null,1
223,224.jpg,from the legendary test track at weissach comes a brand new legend.over the years.poraches 911 has become the legend by which others are judged.the ultimate high performance sports car.and the special edition 911 sc weissach.from its 135 mph top end speed to its distinctive rear and styling.its pure driving excitement.porsche 911 sc weissach series.,1,car,Null,1
224,225.jpg,receive undying gratitude forever.give a targa.targa by porsche 30000.targa by sheaffer 47.targa by sheaffer.,0,,,0
225,226.jpg,rear horsepower.911.porsche,1,horse,carriage,1
226,227.jpg,there are other roadsters almost kind of like it.porsche.,0,,,1
227,228.jpg,porsche.rear horsepower.911,1,horse,carriage,1
228,229.jpg,absolut morning.,1,toothbrush,bottle,1
229,230.jpg,rustlin up a barbecuego get em cowgirlonce you pop.you cant stop.,1,pringles,cow,0
230,231.jpg,m.im lovinit.mcdonaldsbut cosier.winter menu.the chicken and bacon meltpotato wedges and the winter feast.,1,words,cloth,0
231,232.jpg,enter code for a chance to win monster headphones.,1,can,earphone,0
232,233.jpg,uncorktwistenjoymarsala,0,,,1
233,234.jpg,pringles.seleted country.,1,heart,Chips,0
234,235.jpg,xenergy.orange fuel.official energy drink.ufc.drink.dominate.repeat.new from xyience.,1,drink,water,1
235,236.jpg,faites illusionbenefit.en exclusivite chez.sephora,0,,,1
236,237.jpg,smell like a manman.old spice,0,,,0
237,238.jpg,average savings598.,0,,,0
238,239.jpg,chivasgreen tea.chivas regal.blended.scotch.w.hisky,1,Whisky,Null,0
239,240.jpg,experience global networking on a whole new scale.ksrean air.,1,city,clouds,0
240,241.jpg,aditya birlanuvo.sun life to increase its stake in birla sun life insurance from 26 to 49.aditya birla group.,0,,,1
241,242.jpg,this art is copyrighted.jess perna studio.unauthorized use violation of law.jess perna art studio.art any style.any theme.any purpose.1 lllustration or a whole book.delivered on time.personal service.7 days 9am 8am pst.easy orderingcaricaturecartoon realistic lllustration.advertising art.coloring books.gifts.invitations.logos.porduct branding.publishing lllustration.signin boards.standupstandin.3d model design.,0,,,0
242,243.jpg,prototypegroundwave legs.puma.until then.,0,,,1
243,244.jpg,puma,1,shoe,frog,1
244,245.jpg,puma,1,ceiling,floor,1
245,246.jpg,backing down is for the ouiet and spineless.set your puma free.,0,,,1
246,247.jpg,three.a side of.a raging.a small...next thing.puma,1,Null,Null,1
247,248.jpg,until then.prototypeglone defence legs.puma,0,,,1
248,249.jpg,puma,1,background,shoes,1
249,250.jpg,qyour services wont be needed anymore.blackberry.,0,,,1
250,251.jpg,hello.absolut.imported.absolut vegas.,0,,,1
251,252.jpg,the quick brown fox by audi also comes in forest green.huntredsky blue and boot black.and a pack of other equally foxy colorsour crafty little sedan is not only quick0 to 50 in 10 secondsbut nimblesports car type steering and suspension.its surefootedfrontwheel drive.stops straight in tis tracksspecial brakingsteering systems.and has a small appetite23 miles per gallon.catch one for under 3400.,0,,,0
252,253.jpg,introducing blackberry advertising service.omniture.ad network.aggregation platform.single sdk and cmniture analyncs.,0,,,1
253,254.jpg,ads in wonderland.the show 2016.,0,,,1
254,255.jpg,you can lose more than your patience.,1,foot,ceram,1
255,256.jpg,rca xl100.its more than just great color.its 100 solid state accucolor.xl100 is color tv with circuitry designed to perform longer with fewer repairs.rcas best color ever.the tunings a snap.backed by the best warranty program ever.widest choice.more than just great color.,1,television,woman,0
256,257.jpg,hh ba 740.hh mf 442.,1,Audi,circle,1
257,258.jpg,rc.cola.,1,soda,boot,1
258,259.jpg,the saga of crystar.crystal warrior.crystal castle.the ultimate fantasy fortress.remco.,0,,,1
259,260.jpg,freshness has a name.red bull.energy drink.,1,red bull,Null,0
260,261.jpg,,1,cow,wing,1
261,262.jpg,red bull.energy drink.happy valentines day.,1,Red Bull,Chocolate,0
262,263.jpg,red bull.energy drink.maximize your day.n,1,red bull,ant,0
263,264.jpg,red bull commercials,0,,,0
264,265.jpg,big mac,1,MAC,hamburger,0
265,266.jpg,red.energy.gives you wings.,1,Red Bull,wave,0
266,267.jpg,redbull.mississippi grind.come watch the ultimate skate adventure.1600 miles on the mississippi river.from the twin cities to new orleans aboard.a river boat barge skatepark.tour stops.upper river landing chestnut plaza.ticket to grind skate comp.20 of the stats best riders battle it out for the top 2 spots.watch to see who will continue on the tour to new orleans.,1,Sky,Map,1
267,268.jpg,say ok.red.,0,,,0
268,269.jpg,,0,,,1
269,270.jpg,reerun.reebok.tossing the rucksackswinging the handbagswerving the trolley.for your luggage the powerplay begins right from the word go.an unyielding companion reebok travel bags are designed to bear all kinds of loadsin style.dummy copy.,1,shoe,Null,1
270,271.jpg,absolut obsession.,0,,,0
271,272.jpg,reebok.edition jean michel basouiat.,1,shoe,image,1
272,273.jpg,ree shape.the pump.reebok,0,,,1
273,274.jpg,i dont use my blackberry as a status symbol.i use it to symbol.i use it to further my status.blackberry.,1,BlackBerry,woman,1
274,275.jpg,reezig.more energy.reebok.zigtech,0,,,1
275,276.jpg,pump.ladiesstart your running shoes.the rbk pump wrapshear can automatically inflate for a custom fit. turn it on when you need it.turn it off when you dont.,1,shoe,road,1
276,277.jpg,durex.when you both orgasm during sex.its not just an orgasm.its a wegasm.our condoms.lubes and massagers help in the getting you theredepartmentwhether thats slowing him down or speeding her up.the durex line of products lets you take pleasure to a whole new level.awegasmmeans better sex for your partner.better sex for you.better sex together.wegasm,0,,,-1
277,278.jpg,shae shae la reese.miss gay usofa 2013.,0,,,0
278,279.jpg,do you have what it takes,0,,,0
279,280.jpg,winterfreen resort,0,,,1
280,281.jpg,terrain park.hammers thrownlots.go all day.and night.so many features.range or jumps.longest ski day in colorado.fast laps.number of tricksstomped.keystone.a mountain of possibilities.35boxes.20jumps.,1,Null,Null,1
281,282.jpg,our history runs deep.come make your own epic history.alta,1,ruler,ski,1
282,283.jpg,park city.mountain resort.,0,,,0
283,284.jpg,absolut gartel.,1,background,whimsical,0
284,285.jpg,new colorsilk.root perfect.complete root coverrage.the colosilk spongetipped touchgo applicator works to transform roots beautifullydarklight or gray.put color exactly where you want to seamlessly make roots go away.whatever your brand.delivers 100gray coveragetoo.no burshno hassleno roots in just 10 easy minutes.colorsilk root perfect.,0,,,1
285,286.jpg,crazy color.crazy fast.new revlon.top speed.72colors that dry in 60 seconds.revlon.,0,,,1
286,287.jpg,rollsroyce spey power chosen.,0,,,1
287,288.jpg,were cranky about flavor.blue bell ice cream.brand homemade vanilla .natural and artificial flavor added.,1,ice cream,well,1
288,289.jpg,daily milk.chocolate.cadburys milk.taste the creamtheres a glassandahalf of fresh fullcream milk in every halfpound.,0,,,0
289,290.jpg,its autumn time...its blue bell time,0,,,1
290,291.jpg,fun nowkids later.,1,rabbits,people,1
291,292.jpg,having islands.telephone hawah.,0,,,0
292,293.jpg,life is not a lotterya people die everyday on our street.thats 2800 people each year.act responsible and stop this dark lottery on life.,1,head,lottery,0
293,294.jpg,safety comes first.,1,pin,bottle ,1
294,295.jpg,respect it.,1,body,crosswalk,1
